בְּ	920	15539
לְ	919	20378
וְ	918	50272
	886	11950
מִן־	879	7559
הַ	866	23887
עַל	856	5768
כִּי אם־	839	4483
כֹּל	827	5412
H3963a	811	7080
לֹא	807	5168
3071+	778	6513
אֵת	765	10939
נִהְיָה	745	3561
מֵאֲשֶׁר	744	5500
כְּ	742	2903
אֶל	736	5514
אָמַר	726	5307
H2967a	706	7065
בְּנוֹ	688	4933
בּוֹא	679	2558
לִפְנָ֑י	675	2126
אֶ֫רֶץ	661	2504
עָשָׂה	648	2626
יוֹם	643	2302
H3509b	634	6970
נָתַן	622	2009
H1886d	601	3116
יָד	601	1618
אֱלֹהִים	587	2601
אִישׁ	561	2187
הוּא	547	1394
יִשְׂרָאֵל	543	2506
1023+	535	2042
יָלַךְ	524	1547
עַם	518	1833
רָאָה	516	1299
עַד	516	1262
דָּבָר	494	1441
שָׁמַע	486	1159
יָצָא	469	1068
דָבַר	467	1136
יָשַׁב	461	1080
עַ֫יִן	453	886
יָדַע	451	946
שׁוּב	448	1057
H1930a	446	1064
אִם	436	1068
הִנֵּה	433	1059
זֶה	433	1177
H3641b	414	2651
כֵּן	406	744
מֶ֫לֶךְ	406	2523
לָקַח	405	966
H0854	397	926
קָרָא	389	733
אַ֫יִן	388	788
שֵׁם	387	864
עָלָה	383	889
מֵעִם	381	1048
H5204a	379	1169
ה	376	1089
אָב	371	1210
גַּם	370	769
שָׁם	365	834
אֲנִי	364	874
בְּלִימָה	363	752
5904+	360	1092
שֶׁל	359	1637
שָׁלַח	357	847
שׂוֹא	355	655
נֶ֫פֶשׁ	354	754
אַתָּ֫ה	352	744
קוּם	345	627
אַחֲרַי	341	720
יָשַׂם	338	585
אֵ֫לֶּה	334	746
דֶּ֫רֶךְ	331	706
אֶחָד	330	970
הֲ	325	749
516+	325	730
אָכַל	322	809
זֹאת	316	604
רֹאשׁ	315	599
הֵ֫מָּה	315	562
מוּת	307	843
לִבָּה	306	600
עָבַר	297	548
שְׁנַ֫יִם	293	768
עֶ֫בֶד	291	800
פֵּיָה	288	498
גָּדוֹל	287	525
עָמַד	286	521
עוֹד	285	490
אִשָּׁה	282	781
H5105b	279	516
הָרָר	277	558
מַי	276	581
שָׁנָה	274	876
אָדָם	266	551
טוֹב	265	490
קוֹל	265	505
נָפַל	263	434
תַּחַת	262	505
רַב	261	422
יְהוּדָה	261	819
H1931a	260	485
H	259	1706
מָצָא	258	455
שָׁמַר	251	468
עַתָּ֫ה	247	433
מִשְׁפָּט	245	422
צָוָה	244	494
בַּת	243	587
עֵילוֹם	241	439
גּוֹי	240	555
מִי	238	423
מָקוֹם	235	401
יְרוּשָׁלִַ֫͏ם	234	643
אָח	233	629
רַע	229	357
כֹּה	229	577
תָּ֫וֶךְ	227	418
נָכָה	227	500
שָׁמַיִם	226	421
דָּוִד	225	1075
רוּחַ	223	378
H1886j	218	427
אֵשׁ	215	378
יָרֵא	213	318
מִצְרַ֫יִם	213	681
כֹּהֵן	212	750
חֶ֫רֶב	210	413
אַף	198	277
רָדַד	198	380
H6030	197	315
נָגַד	196	370
נָא	196	404
יָם	194	396
מְאֹד	194	300
אָֽנֹכִ֫י	194	359
צָבָא	193	486
שָׁלֹשׁ	191	430
סוּר	191	299
שַׂר	191	421
מָלֵא	189	250
H7451b	186	309
בָּנָה	185	376
H3509c	183	1373
כֶּ֫סֶף	183	403
עֵת	182	296
כָּרַת	181	288
שָׂדֶה	177	320
קֹ֫דֶשׁ	177	469
לֶ֫חֶם	176	297
רֶ֫גֶל	176	247
מַ֫עַן	172	272
מִלְחָמָה	172	319
חַיִּים	169	267
