G976	βίβλος
G1078	γένεσις
G2424	Ἰησοῦς
G5547	Χριστός
G5207	υἱός
G1138	Δαυίδ
G11	Ἀβραάμ
G1080	γεννάω
G3588	ὁ
G2464	Ἰσαάκ
G1161	δέ
G2384	Ἰακώβ
G2455	Ἰούδας
G2532	καί
G80	ἀδελφός
G846	αὐτός
G5329	Φαρές
G2196	Ζάρα
G1537	ἐκ
G2283	Θαμάρ
G2074	Ἑσρώμ
G689	Ἀράμ
G284	Ἀμιναδάβ
G3476	Ναασσών
G4533	Σαλμών
G1003	Βόες
G4477	Ῥαχάβ
G5601	Ἰωβήδ
G4503	Ῥούθ
G2421	Ἰεσσαί
G935	βασιλεύς
G4672	Σολομών
G3774	Οὐρίας
G4497	Ῥοβοάμ
G7	Ἀβιά
G760	Ἀσάφ
G2498	Ἰωσαφάτ
G2496	Ἰωράμ
G3604	Ὀζίας
G2488	Ἰωαθάμ
G881	Ἀχάζ
G1478	Ἑζεκίας
G3128	Μανασσῆς
G300	Ἀμώς
G2502	Ἰωσίας
G2423	Ἰεχονίας
G1909	ἐπί
G3350	μετοικεσία
G897	Βαβυλών
G3326	μετά
G4528	Σαλαθιήλ
G2216	Ζοροβαβέλ
G10	Ἀβιούδ
G1662	Ἐλιακίμ
G107	Ἀζώρ
G4524	Σαδώκ
G885	Ἀχίμ
G1664	Ἐλιούδ
G1648	Ἐλεάζαρ
G3157	Ματθάν
G2501	Ἰωσήφ
G435	ἀνήρ
G3137	Μαρία
G3739	ὅς
G3004	λέγω
G3956	πᾶς
G3767	οὖν
G1074	γενεά
G575	ἀπό
G2193	ἕως
G1180	δεκατέσσαρες
G3779	οὕτω(ς)
G2258	εἰμί
G3423	μνηστεύομαι
G3384	μήτηρ
G4250	πρίν
G2228	ἤ
G4905	συνέρχομαι
G848	ἑαυτοῦ
G2147	εὑρίσκω
G1722	ἐν
G1064	γαστήρ
G2192	ἔχω
G4151	πνεῦμα
G40	ἅγιος
G1342	δίκαιος
G3361	μή
G2309	θέλω
G1165	δειγματίζω
G1014	βούλομαι
G2977	λάθρᾳ
G630	ἀπολύω
G5023	οὗτος
G1760	ἐνθυμέομαι
G2400	ἰδού
G32	ἄγγελος
G2962	κύριος
G2596	κατά
G3677	ὄναρ
G5316	φαίνω
G5399	φοβέομαι
G3880	παραλαμβάνω
G1135	γυνή
G4675	σύ
G1063	γάρ
G5088	τίκτω
G2564	καλέω
G3686	ὄνομα
G4982	σῴζω
G2992	λαός
G266	ἁμαρτία
G3650	ὅλος
G1096	γίνομαι
G2443	ἵνα
G4137	πληρόω
G5259	ὑπό
G1223	διά
G4396	προφήτης
G3933	παρθένος
G1694	Ἐμμανουήλ
G3177	μεθερμηνεύω
G2257	ἐγώ
G2316	θεός
G1453	ἐγείρω
G5258	ὕπνος
G4160	ποιέω
G5613	ὡς
G4367	προστάσσω
G3756	οὐ
G1097	γινώσκω
G965	Βηθλέεμ
G2449	Ἰουδαία
G2250	ἡμέρα
G2264	Ἡρῴδης
G3097	μάγος
G395	ἀνατολή
G3854	παραγίνομαι
G1519	εἰς
G2414	Ἱεροσόλυμα
G4226	ποῦ
G2453	Ἰουδαῖος
G3708	ὁράω
G792	ἀστήρ
G2064	ἔρχομαι
G4352	προσκυνέω
G191	ἀκούω
G5015	ταράσσω
G4863	συνάγω
G749	ἀρχιερεύς
G1122	γραμματεύς
G4441	πυνθάνομαι
G3844	παρά
G1125	γράφω
G1093	γῆ
G3760	οὐδαμῶς
G1646	ἐλάχιστος
G2232	ἡγεμών
G1831	ἐξέρχομαι
G2233	ἡγέομαι
G3748	ὅστις
G4165	ποιμαίνω
G2474	Ἰσραήλ
G5119	τότε
G198	ἀκριβόω
G5550	χρόνος
G3992	πέμπω
G4198	πορεύομαι
G1833	ἐξετάζω
G199	ἀκριβῶς
G4012	περί
G3813	παιδίον
G1875	ἐπάν
G518	ἀπαγγέλλω
G3704	ὅπως
G2504	κἀγώ
G4254	προάγω
G2476	ἵστημι
G1883	ἐπάνω
G3757	οὗ
G5463	χαίρω
G5479	χαρά
G3173	μέγας
G4970	σφόδρα
G3614	οἰκία
G4098	πίπτω
G455	ἀνοίγω
G2344	θησαυρός
G4374	προσφέρω
G1435	δῶρον
G5557	χρυσός
G3030	λίβανος
G4666	σμύρνα
G5537	χρηματίζω
G344	ἀνακάμπτω
G4314	πρός
G243	ἄλλος
G3598	ὁδός
G402	ἀναχωρέω
G5561	χώρα
G5343	φεύγω
G125	Αἴγυπτος
G1563	ἐκεῖ
G302	ἄν
G3195	μέλλω
G2212	ζητέω
G622	ἀπόλλυμι
G3571	νύξ
G5054	τελευτή
G3754	ὅτι
G1702	ἐμπαίζω
G2373	θυμόομαι
G3029	λίαν
G649	ἀποστέλλω
G337	ἀναιρέω
G3816	παῖς
G3725	ὅριον
G1332	διετής
G2736	κατωτέρω
G2408	Ἰερεμίας
G5456	φωνή
G4471	Ῥαμά
G2805	κλαυθμός
G3602	ὀδυρμός
G4183	πολύς
G4478	Ῥαχήλ
G2799	κλαίω
G5043	τέκνον
G3870	παρακαλέω
G5053	τελευτάω
G2348	θνῄσκω
G5590	ψυχή
G1525	εἰσέρχομαι
G745	Ἀρχέλαος
G936	βασιλεύω
G473	ἀντί
G3962	πατήρ
G565	ἀπέρχομαι
G3313	μέρος
G1056	Γαλιλαία
G2730	κατοικέω
G4172	πόλις
G3478	Ναζαρέτ
G3480	Ναζωραῖος
G1565	ἐκεῖνος
G2491	Ἰωάννης
G910	βαπτιστής
G2784	κηρύσσω
G2048	ἔρημος
G3340	μετανοέω
G1448	ἐγγίζω
G932	βασιλεία
G3772	οὐρανός
G2268	Ἠσαΐας
G994	βοάω
G2090	ἑτοιμάζω
G2117	εὐθύς
G5147	τρίβος
G1742	ἔνδυμα
G2359	θρίξ
G2574	κάμηλος
G2223	ζώνη
G1193	δερμάτινος
G3751	ὀσφῦς
G5160	τροφή
G200	ἀκρίς
G3192	μέλι
